section,segment,duration_s,energy_wh,mass_t,energy_wh_per_t,run_class,quality_label,after_8pm,service_no,date_service,direction,point_count
布政-张家潭,0,117.5,13559.418453416676,215.24,62.996740631001096,class3,0.0,0.0,70100,07/0170100,UP,2351
布政-张家潭,1,113.5,15863.828256263914,215.34,73.66874828765633,class2,0.0,0.0,70101,07/0170101,UP,2271
布政-张家潭,2,117.45,13422.513381874985,215.24,62.36068287434949,class3,0.0,0.0,70102,07/0170102,UP,2350
布政-张家潭,3,117.55,14208.105244576362,215.33999999999995,65.97987018007042,class3,0.0,0.0,70103,07/0170103,UP,2352
布政-张家潭,4,116.3,13108.531943083302,215.24,60.90193246182541,class3,0.0,0.0,70104,07/0170104,UP,2327
布政-张家潭,5,117.3,13157.573744923631,215.24,61.12977952482638,class3,0.0,0.0,70105,07/0170105,UP,2347
布政-张家潭,6,117.65,14089.182922673615,215.24000000000004,65.4580139503513,class3,0.0,0.0,70106,07/0170106,UP,2354
布政-张家潭,7,116.3,13153.353112374969,215.24,61.110170564834455,class3,1.0,1.0,70107,07/0170107,UP,2327
布政-张家潭,8,116.7,13263.135887520802,215.24,61.620218767519056,class3,0.0,0.0,70208,07/0270208,UP,2335
布政-张家潭,9,117.55,13943.571187291669,215.24,64.7815052373707,class3,0.0,0.0,70209,07/0270209,UP,2352
布政-张家潭,10,116.4,13041.16303625695,215.24,60.58893809820177,class3,0.0,0.0,70210,07/0270210,UP,2329
布政-张家潭,11,116.3,12741.006409708318,215.24,59.194417439640944,class3,0.0,0.0,70211,07/0270211,UP,2327
布政-张家潭,12,113.35,16012.072039013874,215.24,74.3917117590312,class2,0.0,0.0,70212,07/0270212,UP,2268
布政-张家潭,13,113.9,15986.798315534728,215.24,74.27429063154956,class3,0.0,0.0,70213,07/0270213,UP,2279
布政-张家潭,14,117.45,13074.526526916605,215.24,60.74394409457631,class3,1.0,1.0,70214,07/0270214,UP,2350
布政-张家潭,15,116.85,13750.967995013863,215.24,63.886675315990814,class3,0.0,0.0,70315,07/0370315,UP,2338
布政-张家潭,16,115.95,13033.972281666716,215.24,60.55553002075226,class3,0.0,0.0,70316,07/0370316,UP,2320
布政-张家潭,17,116.4,12920.736676354234,215.24,60.02944004996392,class3,0.0,0.0,70317,07/0370317,UP,2329
布政-张家潭,18,116.1,14346.18430789581,215.24,66.65203636822064,class3,0.0,0.0,70318,07/0370318,UP,2323
布政-张家潭,19,116.45,13319.015845506914,215.24000000000004,61.879835743852965,class3,0.0,0.0,70319,07/0370319,UP,2330
布政-张家潭,20,115.85,13232.205925541673,215.24000000000004,61.476518888411405,class3,0.0,0.0,70320,07/0370320,UP,2318
布政-张家潭,21,117.35,14300.657820868038,215.24,66.44052137552517,class3,0.0,0.0,70321,07/0370321,UP,2348
布政-张家潭,22,112.3,13751.42064807642,215.23999999999998,63.888778331520264,class2,1.0,1.0,70322,07/0370322,UP,2247
布政-张家潭,23,116.8,13101.882347618095,215.24,60.871038596999135,class3,0.0,0.0,70423,07/0470423,UP,2337
布政-张家潭,24,116.65,13539.040554840256,215.24,62.90206539137825,class3,0.0,0.0,70424,07/0470424,UP,2334
布政-张家潭,25,114.1,15964.228688083269,215.24,74.16943267089421,class3,0.0,0.0,70425,07/0470425,UP,2283
布政-张家潭,26,120.1,15084.659956402687,215.24000000000004,70.0829769392431,class4,0.0,0.0,70526,07/0570526,UP,2403
布政-张家潭,27,117.85,14073.769407347256,215.24,65.38640311906363,class3,0.0,0.0,70527,07/0570527,UP,2358
布政-张家潭,28,116.4,13389.765483736153,215.24,62.20853690641216,class3,0.0,0.0,70528,07/0570528,UP,2329
布政-张家潭,29,118.3,14067.717337236085,215.24000000000004,65.3582853430407,class4,0.0,0.0,70529,07/0570529,UP,2367
布政-张家潭,30,117.7,13152.120770256932,215.24000000000004,61.10444513221023,class3,0.0,0.0,70530,07/0570530,UP,2355
布政-张家潭,31,116.85,13372.607855993056,215.24,62.128822969675966,class3,0.0,0.0,70531,07/0570531,UP,2338
布政-张家潭,32,119.85,13230.349471909694,215.24000000000004,61.46789384830743,class4,1.0,1.0,70532,07/0570532,UP,2398
布政-张家潭,33,118.15,14500.53741297219,215.24000000000004,67.36915728011608,class4,0.0,0.0,70633,07/0670633,UP,2364
布政-张家潭,34,117.65,14000.412354951353,215.24000000000004,65.0455879713406,class3,0.0,0.0,70634,07/0670634,UP,2354
布政-张家潭,35,116.5,13342.182227451267,215.24000000000004,61.98746621190887,class3,0.0,0.0,70635,07/0670635,UP,2331
布政-张家潭,36,119.0,14116.832649159678,215.24000000000004,65.58647393216724,class4,0.0,0.0,70636,07/0670636,UP,2381
布政-张家潭,37,118.9,14062.105194798653,215.24000000000004,65.33221146068877,class4,0.0,0.0,70637,07/0670637,UP,2379
布政-张家潭,38,117.6,14333.06409927089,215.24,66.59108018616841,class3,0.0,0.0,70638,07/0670638,UP,2353
布政-张家潭,39,118.95,14175.86034534028,215.24000000000004,65.86071522644619,class4,0.0,0.0,70639,07/0670639,UP,2380
布政-张家潭,40,117.35,13056.355072868058,215.24,60.65951994456448,class3,1.0,1.0,70640,07/0670640,UP,2348
布政-张家潭,41,116.8,13470.934845312482,215.24,62.585647859656575,class3,0.0,0.0,70841,07/0870841,UP,2337
布政-张家潭,42,117.3,14318.311171013891,215.24,66.52253842693686,class3,0.0,0.0,70842,07/0870842,UP,2347
布政-张家潭,43,118.85,14004.261986555577,215.24000000000004,65.06347326963193,class4,0.0,0.0,70843,07/0870843,UP,2378
布政-张家潭,44,118.4,14168.868548944447,215.24000000000004,65.82823150410911,class4,0.0,0.0,70844,07/0870844,UP,2369
布政-张家潭,45,117.55,13436.774339534737,215.24,62.42693894970608,class3,0.0,0.0,70845,07/0870845,UP,2352
布政-张家潭,46,114.7,13150.55723199311,215.24,61.0971809700479,class3,0.0,0.0,70846,07/0870846,UP,2295
布政-张家潭,47,116.7,13389.294188444412,215.24,62.20634727952245,class3,1.0,1.0,70847,07/0870847,UP,2335
布政-张家潭,48,116.9,14023.35622830555,215.23999999999998,65.15218466969687,class3,0.0,0.0,70948,07/0970948,UP,2339
布政-张家潭,49,115.8,13178.686218881914,215.24000000000004,61.22786758447273,class3,0.0,0.0,70949,07/0970949,UP,2317
布政-张家潭,50,116.3,13988.036726215243,215.24,64.98809109001692,class3,0.0,0.0,70950,07/0970950,UP,2327
布政-张家潭,51,114.4,13851.15426616657,215.23999999999998,64.35213838583242,class3,0.0,0.0,70951,07/0970951,UP,2289
布政-张家潭,52,117.3,14192.847116791709,215.24,65.93963536885202,class3,0.0,0.0,70952,07/0970952,UP,2347
布政-张家潭,53,115.95,13880.257292006965,215.33999999999997,64.45740360363595,class3,0.0,0.0,70953,07/0970953,UP,2320
布政-张家潭,54,116.2,13295.737564215213,215.24000000000004,61.771685394049484,class3,0.0,0.0,70954,07/0970954,UP,2325
布政-张家潭,55,113.1,15960.799645493067,215.24,74.15350141931363,class2,1.0,1.0,70955,07/0970955,UP,2263
布政-张家潭,56,117.8,14472.38947626385,215.24,67.23838262527342,class3,0.0,0.0,71056,07/1071056,UP,2357
布政-张家潭,57,116.55,13670.027493666636,215.24,63.51062764201187,class3,0.0,0.0,71057,07/1071057,UP,2332
布政-张家潭,58,116.65,13762.043826416642,215.24,63.93813336933954,class3,0.0,0.0,71058,07/1071058,UP,2334
布政-张家潭,59,119.45,13202.377793673608,215.24000000000004,61.337938086199614,class4,1.0,1.0,71059,07/1071059,UP,2390
布政-张家潭,60,118.8,14289.617693534618,215.24000000000004,66.38922920244664,class4,0.0,0.0,71560,07/1571560,UP,2377
布政-张家潭,61,114.5,15917.848909340259,215.33999999999997,73.91961042695394,class3,0.0,0.0,71561,07/1571561,UP,2291
布政-张家潭,62,118.0,14196.141809444485,215.24,65.9549424337692,class3,0.0,0.0,71562,07/1571562,UP,2361
布政-张家潭,63,117.85,14458.716242097258,215.24,67.17485709950408,class3,0.0,0.0,71563,07/1571563,UP,2358
布政-张家潭,64,117.35,13969.026325381976,215.24,64.89976921288782,class3,0.0,0.0,71564,07/1571564,UP,2348
布政-张家潭,65,116.8,14554.707758138815,215.24,67.6208314353225,class3,0.0,0.0,71565,07/1571565,UP,2337
布政-张家潭,66,116.85,13448.762468548612,215.33999999999997,62.453619710915824,class3,0.0,0.0,71666,07/1671666,UP,2338
布政-张家潭,67,116.15,13353.889001243031,215.24000000000004,62.04185560882284,class3,0.0,0.0,71667,07/1671667,UP,2324
布政-张家潭,68,117.1,14626.437407124962,215.24000000000004,67.95408570491061,class3,0.0,0.0,71668,07/1671668,UP,2343
布政-张家潭,69,117.0,14313.875271312476,215.33999999999995,66.47104704798217,class3,0.0,0.0,71669,07/1671669,UP,2341
布政-张家潭,70,117.2,14507.254467749994,215.24,67.40036455932909,class3,0.0,0.0,71670,07/1671670,UP,2345
布政-张家潭,71,116.25,13554.291716465264,215.24,62.972921931171086,class3,0.0,0.0,71671,07/1671671,UP,2326
布政-张家潭,72,117.2,14429.569858006953,215.24,67.03944368150414,class3,1.0,1.0,71672,07/1671672,UP,2345
布政-张家潭,73,118.4,13987.763827027875,215.24000000000004,64.98682320678253,class4,0.0,0.0,71773,07/1771773,UP,2369
布政-张家潭,74,119.1,14861.631293152686,215.24,69.04679099216078,class4,0.0,0.0,71874,07/1871874,UP,2383
布政-张家潭,75,113.95,16150.874802958282,215.24,75.03658615014997,class3,0.0,0.0,71875,07/1871875,UP,2280
布政-张家潭,76,117.45,13120.79545913197,215.24,60.958908470228444,class3,0.0,0.0,71876,07/1871876,UP,2350
布政-张家潭,77,116.45,13302.626599909792,215.24000000000004,61.80369169257475,class3,0.0,0.0,71877,07/1871877,UP,2330
布政-张家潭,78,116.25,13329.529858520817,215.24,61.928683602122355,class3,0.0,0.0,71878,07/1871878,UP,2326
布政-张家潭,79,116.95,14247.813156305596,215.33999999999995,66.16426653805888,class3,0.0,0.0,71879,07/1871879,UP,2340
布政-张家潭,80,116.65,13460.44807011802,215.33999999999997,62.507885530407826,class3,0.0,0.0,71880,07/1871880,UP,2334
布政-张家潭,81,118.35,12993.039629270868,215.24000000000004,60.365357876188746,class4,1.0,1.0,71881,07/1871881,UP,2368
布政-张家潭,82,115.9,13362.149176736091,215.33999999999997,62.05140325409164,class3,0.0,0.0,71982,07/1971982,UP,2319
布政-张家潭,83,116.85,13830.34083994442,215.24,64.2554396949657,class3,0.0,0.0,71983,07/1971983,UP,2338
布政-张家潭,84,113.85,16393.58047420144,215.24,76.16419101561718,class3,0.0,0.0,71984,07/1971984,UP,2278
布政-张家潭,85,115.1,13255.14482606244,215.24,61.58309248309998,class3,0.0,0.0,71985,07/1971985,UP,2303
布政-张家潭,86,113.45,16097.288642263891,215.24,74.78762610232248,class2,0.0,0.0,71986,07/1971986,UP,2270
布政-张家潭,87,115.75,14708.423013881975,215.24000000000004,68.33498891415151,class3,0.0,0.0,71987,07/1971987,UP,2316
布政-张家潭,88,118.25,14069.765303708311,215.24000000000004,65.36780014731606,class4,1.0,1.0,71988,07/1971988,UP,2366
布政-张家潭,89,117.55,13171.391490659722,215.24,61.19397644796377,class3,0.0,0.0,72689,07/2672689,UP,2352
布政-张家潭,90,117.4,14178.39287812496,215.24,65.87248131446273,class3,0.0,0.0,72690,07/2672690,UP,2349
布政-张家潭,91,118.15,14086.227822104136,215.24000000000004,65.44428462230131,class4,0.0,0.0,72691,07/2672691,UP,2364
布政-张家潭,92,119.1,12457.25660770835,215.24,57.876122503755575,class4,0.0,0.0,72692,07/2672692,UP,2383
布政-张家潭,93,114.05,16094.341896624976,215.24,74.77393559108425,class3,6.0,0.0,72693,07/2672693,UP,2282
布政-张家潭,94,114.25,16082.567680062486,215.24,74.71923285663671,class3,0.0,0.0,72694,07/2672694,UP,2286
布政-张家潭,95,118.9,14038.699725590253,215.24000000000004,65.2234701988025,class4,1.0,1.0,72695,07/2672695,UP,2379
布政-张家潭,96,120.7,14160.653884534739,215.24000000000004,65.7900663656139,class4,0.0,0.0,72796,07/2772796,UP,2415
布政-张家潭,97,117.7,13207.805266555573,215.24000000000004,61.363153998121035,class3,0.0,0.0,72797,07/2772797,UP,2355
布政-张家潭,98,118.4,14242.170152138871,215.24000000000004,66.16878903614044,class4,0.0,0.0,72798,07/2772798,UP,2369
布政-张家潭,99,114.8,16004.630624618108,215.24,74.35713912199455,class3,0.0,0.0,72799,07/2772799,UP,2297
布政-张家潭,100,118.15,13603.091765263887,215.24000000000004,63.1996458152011,class4,0.0,0.0,72800,07/2772800,UP,2364
布政-张家潭,101,118.15,13568.988183895846,215.24000000000004,63.04120137472516,class4,0.0,0.0,72801,07/2772801,UP,2364
布政-张家潭,102,117.2,14291.982809215217,215.24,66.40021747451782,class3,0.0,0.0,72802,07/2772802,UP,2345
布政-张家潭,103,114.25,14434.28343647913,215.24,67.06134285671403,class3,1.0,1.0,72803,07/2772803,UP,2286
布政-张家潭,104,117.7,14439.818595041645,215.24000000000004,67.08705907378574,class3,0.0,0.0,72904,07/2872904,UP,2355
布政-张家潭,105,116.05,13004.386404701361,215.24,60.418074729145886,class3,0.0,0.0,72905,07/2872905,UP,2322
布政-张家潭,106,118.4,14100.849933312473,215.24000000000004,65.51221860858794,class4,0.0,0.0,72906,07/2872906,UP,2369
布政-张家潭,107,118.35,14180.192817506912,215.24000000000004,65.8808437906844,class4,0.0,0.0,72907,07/2872907,UP,2368
布政-张家潭,108,118.65,14104.774659270795,215.24000000000004,65.53045279349003,class4,0.0,0.0,72908,07/2872908,UP,2374
布政-张家潭,109,117.85,14478.123307409713,215.24,67.2650218705153,class3,0.0,0.0,72909,07/2872909,UP,2358
布政-张家潭,110,116.25,13324.693759236066,215.24,61.906215198086166,class3,1.0,1.0,72910,07/2872910,UP,2326
布政-张家潭,111,117.9,14190.52763420835,215.24,65.92885910708209,class3,0.0,0.0,73011,07/2973011,UP,2359
布政-张家潭,112,116.7,14096.362082624955,215.24,65.49136815938002,class3,0.0,0.0,73012,07/2973012,UP,2335
布政-张家潭,113,118.85,12872.84765265972,215.24000000000004,59.80694876723526,class4,0.0,0.0,73013,07/2973013,UP,2378
