station_pair,L,V_UPPER,V_MID,A1,A2,A_DEC,REACH_TOL,TIME_LOWER,TIME_UPPER,MASS
布政-张家潭,1450,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.24
张家潭-同德路,2053,22.22,12.5,0.55,0.8,-0.5,0.5,141,166,215.34
同德路-石碶,1351,22.22,12.5,0.55,0.8,-0.5,0.5,99,120,215.23999999999998
石碶-雅渡,840,22.22,12.5,0.55,0.8,-0.5,0.5,76,90,215.44
雅渡-庙堰,1889,22.22,12.5,0.55,0.8,-0.5,0.5,123,146,215.44
庙堰-钟公庙,1103,22.22,12.5,0.55,0.8,-0.5,0.5,89,106,215.34
钟公庙-鄞州区政府,999,22.22,12.5,0.55,0.8,-0.5,0.5,82,99,215.54000000000002
鄞州区政府-钱湖南路,1839,22.22,12.5,0.55,0.8,-0.5,0.5,122,146,215.93999999999997
钱湖南路-南高教园区,1187,22.22,12.5,0.55,0.8,-0.5,0.5,91,111,216.1399999999999
南高教园区-下应路,1474,22.22,12.5,0.55,0.8,-0.5,0.5,105,126,216.04000000000002
下应路-大洋江,1233,22.22,12.5,0.55,0.8,-0.5,0.5,96,117,216.1399999999999
大洋江-泗港,972,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,216.04000000000002
泗港-曹隘,1825,22.22,12.5,0.55,0.8,-0.5,0.5,122,143,216.13999999999993
曹隘-柳隘,1327,22.22,12.5,0.55,0.8,-0.5,0.5,101,119,216.1399999999999
柳隘-海晏北路,996,22.22,12.5,0.55,0.8,-0.5,0.5,83,101,216.24
海晏北路-民安东路,877,22.22,12.5,0.55,0.8,-0.5,0.5,79,94,216.23999999999998
民安东路-会展中心,736,22.22,12.5,0.55,0.8,-0.5,0.5,72,88,215.83999999999997
会展中心-院士路,1576,22.22,12.5,0.55,0.8,-0.5,0.5,107,127,215.63999999999993
院士路-盎孟港,1010,22.22,12.5,0.55,0.8,-0.5,0.5,84,100,215.34000000000003
盎孟港-三官堂,1906,22.22,12.5,0.55,0.8,-0.5,0.5,126,153,215.33999999999997
三官堂-兴庄路,1097,22.22,12.5,0.55,0.8,-0.5,0.5,94,114,215.34000000000003
兴庄路-兴海南路,974,22.22,12.5,0.55,0.8,-0.5,0.5,83,100,215.23999999999998
兴海南路-梅堰,846,22.22,12.5,0.55,0.8,-0.5,0.5,75,91,215.34
梅堰-永茂路,3734,22.22,12.5,0.55,0.8,-0.5,0.5,284,345,215.34
永茂路-镇海大道,2164,22.22,12.5,0.55,0.8,-0.5,0.5,135,164,215.33999999999997
镇海大道-骆驼桥,1620,22.22,12.5,0.55,0.8,-0.5,0.5,111,134,215.24
