t_local,v(m/s),s_local(m),t_global,station_pair
0.9500000000000001,0.5225000000000001,0.26125000000000004,719.0500000000001,庙堰-钟公庙
1.0,0.55,0.28875000000000006,719.1,庙堰-钟公庙
1.05,0.5775000000000001,0.31762500000000005,719.15,庙堰-钟公庙
1.1,0.6050000000000001,0.34787500000000005,719.2,庙堰-钟公庙
1.1500000000000001,0.6325000000000002,0.37950000000000006,719.25,庙堰-钟公庙
1.2000000000000002,0.6600000000000001,0.4125000000000001,719.3000000000001,庙堰-钟公庙
1.25,0.6875,0.4468750000000001,719.35,庙堰-钟公庙
1.3,0.7150000000000001,0.4826250000000001,719.4,庙堰-钟公庙
1.35,0.7425000000000002,0.51975,719.45,庙堰-钟公庙
1.4000000000000001,0.7700000000000001,0.55825,719.5,庙堰-钟公庙
1.4500000000000002,0.7975000000000002,0.598125,719.5500000000001,庙堰-钟公庙
1.5,0.8250000000000001,0.639375,719.6,庙堰-钟公庙
1.55,0.8525000000000001,0.682,719.65,庙堰-钟公庙
1.6,0.8800000000000001,0.7260000000000001,719.7,庙堰-钟公庙
1.6500000000000001,0.9075000000000002,0.7713750000000001,719.75,庙堰-钟公庙
1.7000000000000002,0.9350000000000002,0.8181250000000002,719.8000000000001,庙堰-钟公庙
1.75,0.9625000000000001,0.8662500000000002,719.85,庙堰-钟公庙
1.8,0.9900000000000001,0.9157500000000002,719.9,庙堰-钟公庙
1.85,1.0175,0.9666250000000002,719.95,庙堰-钟公庙
1.9000000000000001,1.0450000000000002,1.0188750000000002,720.0,庙堰-钟公庙
1.9500000000000002,1.0725000000000002,1.0725000000000002,720.0500000000001,庙堰-钟公庙
2.0,1.1,1.1275000000000002,720.1,庙堰-钟公庙
2.0500000000000003,1.1275000000000002,1.1838750000000002,720.15,庙堰-钟公庙
2.1,1.1550000000000002,1.2416250000000002,720.2,庙堰-钟公庙
2.15,1.1825,1.3007500000000003,720.25,庙堰-钟公庙
2.2,1.2100000000000002,1.3612500000000003,720.3000000000001,庙堰-钟公庙
2.25,1.2375,1.4231250000000002,720.35,庙堰-钟公庙
2.3000000000000003,1.2650000000000003,1.4863750000000002,720.4,庙堰-钟公庙
2.35,1.2925000000000002,1.5510000000000002,720.45,庙堰-钟公庙
2.4000000000000004,1.3200000000000003,1.6170000000000002,720.5,庙堰-钟公庙
2.45,1.3475000000000001,1.6843750000000002,720.5500000000001,庙堰-钟公庙
2.5,1.375,1.7531250000000003,720.6,庙堰-钟公庙
2.5500000000000003,1.4025000000000003,1.8232500000000003,720.65,庙堰-钟公庙
2.6,1.4300000000000002,1.8947500000000002,720.7,庙堰-钟公庙
2.6500000000000004,1.4575000000000002,1.9676250000000002,720.75,庙堰-钟公庙
2.7,1.4850000000000003,2.041875,720.8000000000001,庙堰-钟公庙
2.75,1.5125000000000002,2.1175,720.85,庙堰-钟公庙
2.8000000000000003,1.5400000000000003,2.1945,720.9,庙堰-钟公庙
2.85,1.5675000000000001,2.272875,720.95,庙堰-钟公庙
2.9000000000000004,1.5950000000000004,2.352625,721.0,庙堰-钟公庙
2.95,1.6225000000000003,2.4337500000000003,721.0500000000001,庙堰-钟公庙
3.0,1.6500000000000001,2.5162500000000003,721.1,庙堰-钟公庙
3.0500000000000003,1.6775000000000002,2.6001250000000002,721.15,庙堰-钟公庙
3.1,1.7050000000000003,2.685375,721.2,庙堰-钟公庙
3.1500000000000004,1.7325000000000004,2.7720000000000002,721.25,庙堰-钟公庙
3.2,1.7600000000000002,2.8600000000000003,721.3000000000001,庙堰-钟公庙
3.25,1.7875,2.9493750000000003,721.35,庙堰-钟公庙
3.3000000000000003,1.8150000000000004,3.040125,721.4,庙堰-钟公庙
3.35,1.8425000000000002,3.13225,721.45,庙堰-钟公庙
3.4000000000000004,1.8700000000000003,3.22575,721.5,庙堰-钟公庙
3.45,1.8975000000000002,3.320625,721.5500000000001,庙堰-钟公庙
3.5,1.9250000000000003,3.416875,721.6,庙堰-钟公庙
3.5500000000000003,1.9525000000000003,3.5145,721.65,庙堰-钟公庙
3.6,1.9800000000000002,3.6135,721.7,庙堰-钟公庙
3.6500000000000004,2.0075000000000003,3.7138750000000003,721.75,庙堰-钟公庙
3.7,2.035,3.8156250000000003,721.8000000000001,庙堰-钟公庙
3.75,2.0625,3.91875,721.85,庙堰-钟公庙
3.8000000000000003,2.0900000000000003,4.02325,721.9,庙堰-钟公庙
3.85,2.1175,4.129125,721.95,庙堰-钟公庙
3.9000000000000004,2.1450000000000005,4.236375,722.0,庙堰-钟公庙
3.95,2.1725000000000003,4.345,722.0500000000001,庙堰-钟公庙
4.0,2.2,4.455,722.1,庙堰-钟公庙
4.05,2.2275,4.566375,722.15,庙堰-钟公庙
4.1000000000000005,2.2550000000000003,4.679125,722.2,庙堰-钟公庙
4.15,2.2825,4.79325,722.25,庙堰-钟公庙
4.2,2.3100000000000005,4.9087499999999995,722.3000000000001,庙堰-钟公庙
4.25,2.3375000000000004,5.025625,722.35,庙堰-钟公庙
4.3,2.365,5.1438749999999995,722.4,庙堰-钟公庙
4.3500000000000005,2.3925000000000005,5.2635,722.45,庙堰-钟公庙
4.4,2.4200000000000004,5.3845,722.5,庙堰-钟公庙
4.45,2.4475000000000002,5.506875,722.5500000000001,庙堰-钟公庙
4.5,2.475,5.630625,722.6,庙堰-钟公庙
4.55,2.5025,5.75575,722.65,庙堰-钟公庙
4.6000000000000005,2.5300000000000007,5.88225,722.7,庙堰-钟公庙
4.65,2.5575000000000006,6.010125,722.75,庙堰-钟公庙
4.7,2.5850000000000004,6.139375,722.8000000000001,庙堰-钟公庙
4.75,2.6125000000000003,6.2700000000000005,722.85,庙堰-钟公庙
4.800000000000001,2.6400000000000006,6.402,722.9,庙堰-钟公庙
4.8500000000000005,2.6675000000000004,6.535375,722.95,庙堰-钟公庙
4.9,2.6950000000000003,6.6701250000000005,723.0,庙堰-钟公庙
4.95,2.7225,6.80625,723.0500000000001,庙堰-钟公庙
5.0,2.75,6.9437500000000005,723.1,庙堰-钟公庙
5.050000000000001,2.7775000000000007,7.082625,723.15,庙堰-钟公庙
5.1000000000000005,2.8050000000000006,7.222875,723.2,庙堰-钟公庙
5.15,2.8325000000000005,7.3645000000000005,723.25,庙堰-钟公庙
5.2,2.8600000000000003,7.5075,723.3000000000001,庙堰-钟公庙
5.25,2.8875,7.651875,723.35,庙堰-钟公庙
5.300000000000001,2.9150000000000005,7.797625,723.4,庙堰-钟公庙
5.3500000000000005,2.9425000000000003,7.94475,723.45,庙堰-钟公庙
5.4,2.9700000000000006,8.09325,723.5,庙堰-钟公庙
5.45,2.9975000000000005,8.243125,723.5500000000001,庙堰-钟公庙
5.5,3.0250000000000004,8.394374999999998,723.6,庙堰-钟公庙
5.550000000000001,3.0525000000000007,8.546999999999999,723.65,庙堰-钟公庙
5.6000000000000005,3.0800000000000005,8.700999999999999,723.7,庙堰-钟公庙
5.65,3.1075000000000004,8.856374999999998,723.75,庙堰-钟公庙
5.7,3.1350000000000002,9.013124999999999,723.8000000000001,庙堰-钟公庙
5.75,3.1625,9.171249999999999,723.85,庙堰-钟公庙
5.800000000000001,3.190000000000001,9.330749999999998,723.9,庙堰-钟公庙
5.8500000000000005,3.2175000000000007,9.491624999999999,723.95,庙堰-钟公庙
5.9,3.2450000000000006,9.653875,724.0,庙堰-钟公庙
5.95,3.2725000000000004,9.817499999999999,724.0500000000001,庙堰-钟公庙
6.0,3.3000000000000003,9.982499999999998,724.1,庙堰-钟公庙
6.050000000000001,3.3275000000000006,10.148874999999999,724.15,庙堰-钟公庙
6.1000000000000005,3.3550000000000004,10.316624999999998,724.2,庙堰-钟公庙
6.15,3.3825000000000003,10.485749999999998,724.25,庙堰-钟公庙
6.2,3.4100000000000006,10.656249999999998,724.3000000000001,庙堰-钟公庙
6.25,3.4375000000000004,10.828124999999998,724.35,庙堰-钟公庙
6.300000000000001,3.4650000000000007,11.001374999999998,724.4,庙堰-钟公庙
6.3500000000000005,3.4925000000000006,11.175999999999998,724.45,庙堰-钟公庙
6.4,3.5200000000000005,11.351999999999999,724.5,庙堰-钟公庙
6.45,3.5475000000000003,11.529374999999998,724.5500000000001,庙堰-钟公庙
6.5,3.575,11.708124999999999,724.6,庙堰-钟公庙
6.550000000000001,3.6025000000000005,11.88825,724.65,庙堰-钟公庙
6.6000000000000005,3.630000000000001,12.069749999999999,724.7,庙堰-钟公庙
6.65,3.6575000000000006,12.252624999999998,724.75,庙堰-钟公庙
6.7,3.6850000000000005,12.436874999999999,724.8000000000001,庙堰-钟公庙
6.75,3.7125000000000004,12.622499999999999,724.85,庙堰-钟公庙
6.800000000000001,3.7400000000000007,12.809499999999998,724.9,庙堰-钟公庙
6.8500000000000005,3.7675000000000005,12.997874999999999,724.95,庙堰-钟公庙
6.9,3.7950000000000004,13.187624999999999,725.0,庙堰-钟公庙
6.95,3.8225000000000002,13.378749999999998,725.0500000000001,庙堰-钟公庙
7.0,3.8500000000000005,13.57125,725.1,庙堰-钟公庙
7.050000000000001,3.877500000000001,13.765125,725.15,庙堰-钟公庙
7.1000000000000005,3.9050000000000007,13.960374999999999,725.2,庙堰-钟公庙
7.15,3.9325000000000006,14.157,725.25,庙堰-钟公庙
7.2,3.9600000000000004,14.355,725.3000000000001,庙堰-钟公庙
7.25,3.9875000000000003,14.554375,725.35,庙堰-钟公庙
7.300000000000001,4.015000000000001,14.755125,725.4,庙堰-钟公庙
7.3500000000000005,4.0425,14.95725,725.45,庙堰-钟公庙
7.4,4.07,15.16075,725.5,庙堰-钟公庙
7.45,4.0975,15.365625,725.5500000000001,庙堰-钟公庙
7.5,4.125,15.571875,725.6,庙堰-钟公庙
7.550000000000001,4.152500000000001,15.7795,725.65,庙堰-钟公庙
7.6000000000000005,4.180000000000001,15.9885,725.7,庙堰-钟公庙
7.65,4.2075000000000005,16.198875,725.75,庙堰-钟公庙
7.7,4.235,16.410625,725.8000000000001,庙堰-钟公庙
7.75,4.2625,16.62375,725.85,庙堰-钟公庙
7.800000000000001,4.290000000000001,16.838250000000002,725.9,庙堰-钟公庙
7.8500000000000005,4.317500000000001,17.054125000000003,725.95,庙堰-钟公庙
7.9,4.345000000000001,17.271375000000003,726.0,庙堰-钟公庙
7.95,4.3725000000000005,17.490000000000002,726.0500000000001,庙堰-钟公庙
8.0,4.4,17.71,726.1,庙堰-钟公庙
8.05,4.427500000000001,17.931375,726.15,庙堰-钟公庙
8.1,4.455,18.154125,726.2,庙堰-钟公庙
8.15,4.482500000000001,18.37825,726.25,庙堰-钟公庙
8.200000000000001,4.510000000000001,18.60375,726.3000000000001,庙堰-钟公庙
8.25,4.5375000000000005,18.830625,726.35,庙堰-钟公庙
8.3,4.565,19.058875,726.4,庙堰-钟公庙
8.35,4.5925,19.2885,726.45,庙堰-钟公庙
8.4,4.620000000000001,19.5195,726.5,庙堰-钟公庙
8.450000000000001,4.647500000000001,19.751875000000002,726.5500000000001,庙堰-钟公庙
8.5,4.675000000000001,19.985625000000002,726.6,庙堰-钟公庙
8.55,4.702500000000001,20.220750000000002,726.65,庙堰-钟公庙
8.6,4.73,20.457250000000002,726.7,庙堰-钟公庙
8.65,4.7575,20.695125,726.75,庙堰-钟公庙
8.700000000000001,4.785000000000001,20.934375,726.8000000000001,庙堰-钟公庙
8.75,4.8125,21.175,726.85,庙堰-钟公庙
8.8,4.840000000000001,21.417,726.9,庙堰-钟公庙
8.85,4.867500000000001,21.660375000000002,726.95,庙堰-钟公庙
8.9,4.8950000000000005,21.905125,727.0,庙堰-钟公庙
8.950000000000001,4.922500000000001,22.15125,727.0500000000001,庙堰-钟公庙
9.0,4.95,22.39875,727.1,庙堰-钟公庙
9.05,4.977500000000001,22.647625,727.15,庙堰-钟公庙
9.1,5.005,22.897875000000003,727.2,庙堰-钟公庙
9.15,5.032500000000001,23.149500000000003,727.25,庙堰-钟公庙
9.200000000000001,5.060000000000001,23.402500000000003,727.3000000000001,庙堰-钟公庙
9.25,5.0875,23.656875000000003,727.35,庙堰-钟公庙
9.3,5.115000000000001,23.912625000000002,727.4,庙堰-钟公庙
9.35,5.1425,24.16975,727.45,庙堰-钟公庙
9.4,5.170000000000001,24.428250000000002,727.5,庙堰-钟公庙
9.450000000000001,5.197500000000001,24.688125000000003,727.5500000000001,庙堰-钟公庙
9.5,5.2250000000000005,24.949375000000003,727.6,庙堰-钟公庙
9.55,5.2525,25.212000000000003,727.65,庙堰-钟公庙
9.600000000000001,5.280000000000001,25.476000000000003,727.7,庙堰-钟公庙
